user_id,evis_id,attempt,distance_traveled,succeeded
1,guess_o_meter,1,6116.191,False
1,guess_o_meter,2,8008.73242,True
2,diff_and_cope1,1,4763.677,False
2,diff_and_cope1,2,8004.84229,True
3,guess_o_meter,1,5418.09668,False
3,guess_o_meter,2,8007.04932,True
4,diff_and_cope1,1,5606.933,False
4,diff_and_cope1,2,8007.67773,True
6,diff_and_cope1,1,8008.421,True
6,diff_and_cope1,2,8001.588,True
7,guess_o_meter,1,5166.714,False
7,guess_o_meter,2,8005.78857,True
8,diff_and_cope1,1,7999.301,False
8,diff_and_cope1,2,7998.99365,False
9,guess_o_meter,1,8003.62939,True
9,guess_o_meter,2,6412.899,False
11,guess_o_meter,1,5380.66943,False
11,guess_o_meter,2,8008.77832,True
12,diff_and_cope1,1,8006.5166,True
12,diff_and_cope1,2,8004.627,True
13,guess_o_meter,1,8007.11768,True
13,guess_o_meter,2,8009.32373,True
17,guess_o_meter,1,5483.165,False
17,guess_o_meter,2,8009.67432,True
18,diff_and_cope1,1,8010.318,True
18,diff_and_cope1,2,8008.049,True
19,guess_o_meter,1,5917.087,False
19,guess_o_meter,2,8006.084,True
20,diff_and_cope1,1,8003.58,True
20,diff_and_cope1,2,8007.341,True
21,guess_o_meter,1,8008.56445,True
21,guess_o_meter,2,7948.84375,False
22,diff_and_cope1,1,7036.81,False
22,diff_and_cope1,2,8002.57568,True
23,guess_o_meter,1,6191.904,False
23,guess_o_meter,2,8007.916,True
24,diff_and_cope1,1,8006.606,True
24,diff_and_cope1,2,8007.162,True
26,diff_and_cope1,1,5930.03174,False
26,diff_and_cope1,2,8012.032,True
28,diff_and_cope1,1,7990.323,False
28,diff_and_cope1,2,8009.97168,True
30,diff_and_cope1,1,8008.07764,True
30,diff_and_cope1,2,8005.01,True
31,guess_o_meter,1,5588.935,False
31,guess_o_meter,2,8005.45068,True
33,control_group,1,5471.306,False
33,control_group,2,8007.91553,True
35,control_group,1,8004.3457,True
35,control_group,2,8005.623,True
36,control_group,1,8014.0127,True
36,control_group,2,8009.78027,True
37,control_group,1,5489.63574,False
37,control_group,2,8006.93164,True
38,control_group,1,5925.74561,False
38,control_group,2,8006.711,True
39,control_group,1,7945.16162,False
39,control_group,2,8005.76074,True
40,control_group,1,8005.69434,True
40,control_group,2,8005.07764,True
41,control_group,1,8005.25244,True
41,control_group,2,3347.16772,False
43,control_group,1,5634.913,False
43,control_group,2,8008.585,True
44,control_group,1,5763.33,False
44,control_group,2,8010.41162,True
46,control_group,1,8009.82031,True
46,control_group,2,8009.926,True
47,control_group,1,8004.64648,True
47,control_group,2,8005.743,True
48,control_group,1,6204.15967,False
48,control_group,2,5762.564,False
